Sentiments_ID,Compound,Date,Media,Negative,Neutral,Positive,Tweets Ago
66,0.3818,Thu Sep 13 15:03:07 +0000 2018,BBC,0.822,0.0,0.178,7
67,0.8104,Thu Sep 13 14:03:03 +0000 2018,BBC,0.527,0.115,0.358,8
68,0.5994,Thu Sep 13 11:02:03 +0000 2018,BBC,0.822,0.0,0.178,9
69,0.0,Thu Sep 13 10:30:00 +0000 2018,BBC,1.0,0.0,0.0,10
70,0.5106,Thu Sep 13 09:04:08 +0000 2018,BBC,0.612,0.116,0.272,11
71,0.5719,Thu Sep 13 08:04:03 +0000 2018,BBC,0.73,0.0,0.27,12
72,0.4688,Thu Sep 13 07:31:07 +0000 2018,BBC,0.831,0.0,0.169,13
73,0.6369,Thu Sep 13 06:59:04 +0000 2018,BBC,0.698,0.0,0.302,14
74,0.6114,Thu Sep 13 06:03:01 +0000 2018,BBC,0.826,0.0,0.174,15
75,0.9136,Wed Sep 12 19:03:07 +0000 2018,BBC,0.542,0.0,0.458,16
76,0.1511,Wed Sep 12 17:03:07 +0000 2018,BBC,0.671,0.146,0.183,17
77,0.3612,Wed Sep 12 16:04:01 +0000 2018,BBC,0.828,0.0,0.172,18
78,-0.25,Wed Sep 12 15:02:02 +0000 2018,BBC,0.854,0.093,0.053,19
79,-0.296,Wed Sep 12 14:03:05 +0000 2018,BBC,0.742,0.152,0.105,20
80,0.5598,Fri Sep 14 08:48:05 +0000 2018,CNN,0.806,0.0,0.194,1
81,-0.3818,Fri Sep 14 08:37:09 +0000 2018,CNN,0.874,0.126,0.0,2
82,0.0,Fri Sep 14 08:27:04 +0000 2018,CNN,1.0,0.0,0.0,3
83,-0.3612,Fri Sep 14 08:20:03 +0000 2018,CNN,0.839,0.161,0.0,4
84,0.4215,Fri Sep 14 08:16:07 +0000 2018,CNN,0.851,0.0,0.149,5
85,-0.3182,Fri Sep 14 08:07:07 +0000 2018,CNN,0.892,0.108,0.0,6
86,0.0,Fri Sep 14 08:01:06 +0000 2018,CNN,0.702,0.169,0.128,7
87,0.296,Fri Sep 14 07:56:07 +0000 2018,CNN,0.672,0.123,0.205,8
88,-0.4215,Fri Sep 14 07:51:07 +0000 2018,CNN,0.865,0.135,0.0,9
89,-0.9001,Fri Sep 14 07:46:04 +0000 2018,CNN,0.559,0.395,0.045,10
90,0.4767,Fri Sep 14 07:42:03 +0000 2018,CNN,0.846,0.0,0.154,11
91,0.0,Fri Sep 14 07:35:06 +0000 2018,CNN,1.0,0.0,0.0,12
92,-0.5413,Fri Sep 14 07:31:07 +0000 2018,CNN,0.845,0.155,0.0,13
93,-0.5106,Fri Sep 14 07:24:07 +0000 2018,CNN,0.751,0.249,0.0,14
94,0.0,Fri Sep 14 07:16:04 +0000 2018,CNN,1.0,0.0,0.0,15
95,0.0,Fri Sep 14 07:07:03 +0000 2018,CNN,1.0,0.0,0.0,16
96,0.0,Fri Sep 14 07:01:39 +0000 2018,CNN,1.0,0.0,0.0,17
97,0.5251,Fri Sep 14 06:52:04 +0000 2018,CNN,0.816,0.0,0.184,18
98,0.0,Fri Sep 14 06:48:17 +0000 2018,CNN,1.0,0.0,0.0,19
99,-0.1531,Fri Sep 14 06:46:07 +0000 2018,CNN,0.76,0.112,0.128,20
